Last login: Thu Jan 17 10:32:46 on ttys001
next-major $node ./tools/checkingSeatsInGroup
======================
========== BEGIN TASK ==========
.
.
.
.
. CinemaId: 0000001001 || Cinema Name: Major Cineplex Ratchayothin
. On progress branch : 1/154
>>> Theatre Name: Theatre1 || Theatre Number: 1 || SessionId: 251987 || Showtimes: 2019-01-17T13:30:00
>>> Theatre Name: Theatre1 || Theatre Number: 1 || SessionId: 251988 || Showtimes: 2019-01-17T16:30:00
>>> Theatre Name: Theatre1 || Theatre Number: 1 || SessionId: 251989 || Showtimes: 2019-01-17T19:30:00
>>> Theatre Name: Theatre1 || Theatre Number: 1 || SessionId: 251990 || Showtimes: 2019-01-17T22:30:00
>>> Theatre Name: Theatre1 || Theatre Number: 1 || SessionId: 252053 || Showtimes: 2019-01-18T13:30:00
>>> Theatre Name: Theatre1 || Theatre Number: 1 || SessionId: 252054 || Showtimes: 2019-01-18T16:30:00
>>> Theatre Name: Theatre1 || Theatre Number: 1 || SessionId: 252055 || Showtimes: 2019-01-18T19:30:00
>>> Theatre Name: Theatre1 || Theatre Number: 1 || SessionId: 252056 || Showtimes: 2019-01-18T22:30:00
>>> Theatre Name: Theatre2 || Theatre Number: 2 || SessionId: 251991 || Showtimes: 2019-01-17T13:30:00
>>> Theatre Name: Theatre2 || Theatre Number: 2 || SessionId: 251992 || Showtimes: 2019-01-17T16:30:00
>>> Theatre Name: Theatre2 || Theatre Number: 2 || SessionId: 251993 || Showtimes: 2019-01-17T19:30:00
>>> Theatre Name: Theatre2 || Theatre Number: 2 || SessionId: 251994 || Showtimes: 2019-01-17T22:30:00
>>> Theatre Name: Theatre2 || Theatre Number: 2 || SessionId: 252057 || Showtimes: 2019-01-18T13:30:00
>>> Theatre Name: Theatre2 || Theatre Number: 2 || SessionId: 252058 || Showtimes: 2019-01-18T16:30:00
>>> Theatre Name: Theatre2 || Theatre Number: 2 || SessionId: 252059 || Showtimes: 2019-01-18T19:30:00
>>> Theatre Name: Theatre2 || Theatre Number: 2 || SessionId: 252060 || Showtimes: 2019-01-18T22:30:00
>>> Theatre Name: Theatre3 || Theatre Number: 3 || SessionId: 251995 || Showtimes: 2019-01-17T11:00:00
>>> Theatre Name: Theatre3 || Theatre Number: 3 || SessionId: 252061 || Showtimes: 2019-01-18T11:00:00
>>> Theatre Name: Theatre4 || Theatre Number: 4 || SessionId: 252049 || Showtimes: 2019-01-17T12:10:00
>>> Theatre Name: Theatre4 || Theatre Number: 4 || SessionId: 252050 || Showtimes: 2019-01-17T14:40:00
>>> Theatre Name: Theatre4 || Theatre Number: 4 || SessionId: 252051 || Showtimes: 2019-01-17T17:20:00
>>> Theatre Name: Theatre4 || Theatre Number: 4 || SessionId: 252052 || Showtimes: 2019-01-17T22:40:00
>>> Theatre Name: Theatre4 || Theatre Number: 4 || SessionId: 252062 || Showtimes: 2019-01-18T13:00:00
>>> Theatre Name: Theatre4 || Theatre Number: 4 || SessionId: 252063 || Showtimes: 2019-01-18T15:30:00
>>> Theatre Name: Theatre4 || Theatre Number: 4 || SessionId: 252064 || Showtimes: 2019-01-18T21:00:00
>>> Theatre Name: Theatre4 || Theatre Number: 4 || SessionId: 252065 || Showtimes: 2019-01-18T23:40:00
>>> Theatre Name: Theatre5 || Theatre Number: 5 || SessionId: 252044 || Showtimes: 2019-01-17T11:40:00
>>> Theatre Name: Theatre5 || Theatre Number: 5 || SessionId: 252045 || Showtimes: 2019-01-17T14:20:00
>>> Theatre Name: Theatre5 || Theatre Number: 5 || SessionId: 252046 || Showtimes: 2019-01-17T17:00:00
>>> Theatre Name: Theatre5 || Theatre Number: 5 || SessionId: 252047 || Showtimes: 2019-01-17T19:40:00
>>> Theatre Name: Theatre5 || Theatre Number: 5 || SessionId: 252048 || Showtimes: 2019-01-17T22:20:00
>>> Theatre Name: Theatre5 || Theatre Number: 5 || SessionId: 252066 || Showtimes: 2019-01-18T11:40:00
>>> Theatre Name: Theatre5 || Theatre Number: 5 || SessionId: 252067 || Showtimes: 2019-01-18T14:20:00
>>> Theatre Name: Theatre5 || Theatre Number: 5 || SessionId: 252068 || Showtimes: 2019-01-18T17:00:00
>>> Theatre Name: Theatre5 || Theatre Number: 5 || SessionId: 252069 || Showtimes: 2019-01-18T19:40:00
>>> Theatre Name: Theatre5 || Theatre Number: 5 || SessionId: 252070 || Showtimes: 2019-01-18T22:20:00
>>> Theatre Name: Theatre6 || Theatre Number: 6 || SessionId: 252039 || Showtimes: 2019-01-17T11:00:00
>>> Theatre Name: Theatre6 || Theatre Number: 6 || SessionId: 252040 || Showtimes: 2019-01-17T14:00:00
>>> Theatre Name: Theatre6 || Theatre Number: 6 || SessionId: 252041 || Showtimes: 2019-01-17T17:00:00
>>> Theatre Name: Theatre6 || Theatre Number: 6 || SessionId: 252042 || Showtimes: 2019-01-17T20:00:00
>>> Theatre Name: Theatre6 || Theatre Number: 6 || SessionId: 252043 || Showtimes: 2019-01-17T23:00:00
>>> Theatre Name: Theatre6 || Theatre Number: 6 || SessionId: 252071 || Showtimes: 2019-01-18T11:00:00
>>> Theatre Name: Theatre6 || Theatre Number: 6 || SessionId: 252072 || Showtimes: 2019-01-18T14:00:00
>>> Theatre Name: Theatre6 || Theatre Number: 6 || SessionId: 252073 || Showtimes: 2019-01-18T17:00:00
