next-major $node ./tools/checkingSeatsInGroup
.
.
.
.
. CinemaId: 0000001067 || Cinema Name: Major Cineplex Central Rayong
. On progress branch : 64/154
>>> Theatre Name: Theatre 1 || Theatre Number: 1 || SessionId: 61210 || Showtimes: 2019-01-17T14:00:00
>>> Theatre Name: Theatre 1 || Theatre Number: 1 || SessionId: 61211 || Showtimes: 2019-01-17T17:00:00
>>> Theatre Name: Theatre 1 || Theatre Number: 1 || SessionId: 61212 || Showtimes: 2019-01-17T20:00:00
>>> Theatre Name: Theatre 1 || Theatre Number: 1 || SessionId: 61244 || Showtimes: 2019-01-18T11:00:00
>>> Theatre Name: Theatre 1 || Theatre Number: 1 || SessionId: 61245 || Showtimes: 2019-01-18T14:00:00
>>> Theatre Name: Theatre 1 || Theatre Number: 1 || SessionId: 61246 || Showtimes: 2019-01-18T17:00:00
>>> Theatre Name: Theatre 1 || Theatre Number: 1 || SessionId: 61247 || Showtimes: 2019-01-18T20:00:00
>>> Theatre Name: Theatre 2 || Theatre Number: 2 || SessionId: 61213 || Showtimes: 2019-01-17T12:30:00
>>> Theatre Name: Theatre 2 || Theatre Number: 2 || SessionId: 61214 || Showtimes: 2019-01-17T15:30:00
>>> Theatre Name: Theatre 2 || Theatre Number: 2 || SessionId: 61215 || Showtimes: 2019-01-17T18:30:00
>>> Theatre Name: Theatre 2 || Theatre Number: 2 || SessionId: 61216 || Showtimes: 2019-01-17T21:30:00
>>> Theatre Name: Theatre 2 || Theatre Number: 2 || SessionId: 61248 || Showtimes: 2019-01-18T12:30:00
>>> Theatre Name: Theatre 2 || Theatre Number: 2 || SessionId: 61249 || Showtimes: 2019-01-18T15:30:00
>>> Theatre Name: Theatre 2 || Theatre Number: 2 || SessionId: 61250 || Showtimes: 2019-01-18T18:30:00
>>> Theatre Name: Theatre 2 || Theatre Number: 2 || SessionId: 61251 || Showtimes: 2019-01-18T21:30:00
>>> Theatre Name: Theatre 3 || Theatre Number: 3 || SessionId: 61218 || Showtimes: 2019-01-17T14:30:00
>>> Theatre Name: Theatre 3 || Theatre Number: 3 || SessionId: 61219 || Showtimes: 2019-01-17T17:30:00
>>> Theatre Name: Theatre 3 || Theatre Number: 3 || SessionId: 61220 || Showtimes: 2019-01-17T20:30:00
>>> Theatre Name: Theatre 3 || Theatre Number: 3 || SessionId: 61252 || Showtimes: 2019-01-18T11:30:00
>>> Theatre Name: Theatre 3 || Theatre Number: 3 || SessionId: 61253 || Showtimes: 2019-01-18T14:30:00
>>> Theatre Name: Theatre 3 || Theatre Number: 3 || SessionId: 61254 || Showtimes: 2019-01-18T17:30:00
>>> Theatre Name: Theatre 3 || Theatre Number: 3 || SessionId: 61255 || Showtimes: 2019-01-18T20:30:00
>>> Theatre Name: Theatre 4 || Theatre Number: 4 || SessionId: 61221 || Showtimes: 2019-01-17T13:00:00
>>> Theatre Name: Theatre 4 || Theatre Number: 4 || SessionId: 61222 || Showtimes: 2019-01-17T16:00:00
>>> Theatre Name: Theatre 4 || Theatre Number: 4 || SessionId: 61223 || Showtimes: 2019-01-17T19:00:00
>>> Theatre Name: Theatre 4 || Theatre Number: 4 || SessionId: 61224 || Showtimes: 2019-01-17T22:00:00
>>> Theatre Name: Theatre 4 || Theatre Number: 4 || SessionId: 61256 || Showtimes: 2019-01-18T13:00:00
>>> Theatre Name: Theatre 4 || Theatre Number: 4 || SessionId: 61257 || Showtimes: 2019-01-18T16:00:00
>>> Theatre Name: Theatre 4 || Theatre Number: 4 || SessionId: 61258 || Showtimes: 2019-01-18T19:00:00
>>> Theatre Name: Theatre 4 || Theatre Number: 4 || SessionId: 61259 || Showtimes: 2019-01-18T22:00:00
>>> Theatre Name: Theatre 5 || Theatre Number: 5 || SessionId: 61225 || Showtimes: 2019-01-17T12:00:00
>>> Theatre Name: Theatre 5 || Theatre Number: 5 || SessionId: 61226 || Showtimes: 2019-01-17T14:30:00
>>> Theatre Name: Theatre 5 || Theatre Number: 5 || SessionId: 61227 || Showtimes: 2019-01-17T17:00:00
>>> Theatre Name: Theatre 5 || Theatre Number: 5 || SessionId: 61228 || Showtimes: 2019-01-17T19:30:00
>>> Theatre Name: Theatre 5 || Theatre Number: 5 || SessionId: 61229 || Showtimes: 2019-01-17T22:00:00
>>> Theatre Name: Theatre 5 || Theatre Number: 5 || SessionId: 61260 || Showtimes: 2019-01-18T12:00:00
>>> Theatre Name: Theatre 5 || Theatre Number: 5 || SessionId: 61261 || Showtimes: 2019-01-18T14:30:00
>>> Theatre Name: Theatre 5 || Theatre Number: 5 || SessionId: 61262 || Showtimes: 2019-01-18T17:00:00
>>> Theatre Name: Theatre 5 || Theatre Number: 5 || SessionId: 61263 || Showtimes: 2019-01-18T19:30:00
>>> Theatre Name: Theatre 5 || Theatre Number: 5 || SessionId: 61264 || Showtimes: 2019-01-18T22:00:00
>>> Theatre Name: Theatre 6 || Theatre Number: 6 || SessionId: 61230 || Showtimes: 2019-01-17T12:00:00
>>> Theatre Name: Theatre 6 || Theatre Number: 6 || SessionId: 61231 || Showtimes: 2019-01-17T15:00:00
>>> Theatre Name: Theatre 6 || Theatre Number: 6 || SessionId: 61232 || Showtimes: 2019-01-17T17:30:00
>>> Theatre Name: Theatre 6 || Theatre Number: 6 || SessionId: 61233 || Showtimes: 2019-01-17T20:30:00
>>> Theatre Name: Theatre 6 || Theatre Number: 6 || SessionId: 61265 || Showtimes: 2019-01-18T12:00:00
>>> Theatre Name: Theatre 6 || Theatre Number: 6 || SessionId: 61266 || Showtimes: 2019-01-18T15:00:00
>>> Theatre Name: Theatre 6 || Theatre Number: 6 || SessionId: 61267 || Showtimes: 2019-01-18T17:30:00
>>> Theatre Name: Theatre 6 || Theatre Number: 6 || SessionId: 61268 || Showtimes: 2019-01-18T20:30:00
>>> Theatre Name: Theatre 7 || Theatre Number: 7 || SessionId: 61235 || Showtimes: 2019-01-17T13:30:00
>>> Theatre Name: Theatre 7 || Theatre Number: 7 || SessionId: 61236 || Showtimes: 2019-01-17T16:00:00
>>> Theatre Name: Theatre 7 || Theatre Number: 7 || SessionId: 61237 || Showtimes: 2019-01-17T18:30:00
>>> Theatre Name: Theatre 7 || Theatre Number: 7 || SessionId: 61238 || Showtimes: 2019-01-17T21:00:00
>>> Theatre Name: Theatre 7 || Theatre Number: 7 || SessionId: 61269 || Showtimes: 2019-01-18T11:00:00
>>> Theatre Name: Theatre 7 || Theatre Number: 7 || SessionId: 61270 || Showtimes: 2019-01-18T13:30:00
>>> Theatre Name: Theatre 7 || Theatre Number: 7 || SessionId: 61271 || Showtimes: 2019-01-18T16:00:00
>>> Theatre Name: Theatre 7 || Theatre Number: 7 || SessionId: 61272 || Showtimes: 2019-01-18T18:30:00
>>> Theatre Name: Theatre 7 || Theatre Number: 7 || SessionId: 61273 || Showtimes: 2019-01-18T21:00:00
